c_num,wbcode,year,iii,nr_rents,embi,embi_cons,debt_gdp,gov_debt_gdp,reserves,rer,inv_n,inv_m,inv_tot,va_n,va_m,va_tot,,,
1,AFG,1979,,2.250358937,,,,,11.93126418,,,,,1563305723,1567046942,11364380688,,,
1,AFG,1980,,2.583876013,,,,,10.19211059,,,,,1441003102,1465103809,11135393911,,,
1,AFG,1981,,2.075059165,,,,,7.884736427,,,,,1476724842,1420535674,11308955925,,,
1,AFG,1982,,,,,,,,,,,,1556775164,1464541906,11521005809,,,
1,AFG,1983,,,,,,,,,,,,1652566720,1596013906,11903848434,,,
1,AFG,1984,,,,,,,,,,,,1791706754,1656742326,12115501409,,,
1,AFG,1985,,,,,,,,,,,,1671321158,1781529628,12078454480,,,
1,AFG,1986,,,,,,,,,,,,1663295076,1881218973,12269809166,,,
1,AFG,1987,,,,,,,,,,,,1697460854,1876757524,11040790924,,,
1,AFG,1988,,,,,,,,,,,,1609812570,1694628644,10033202700,,,
1,AFG,1989,,,,,,,,,,,,1513277199,1539234740,9467201661,,,
1,AFG,1990,,,,,,,,,,,,3400906325,1839648920,9205417272,,,
1,AFG,1991,,,,,,,,,,,,2714869729,1748969501,8336557531,,,
1,AFG,1992,,,,,,,,,,,,2530386124,1177311660,8153808634,,,
1,AFG,1993,10.3,,,68.29607654,,,,,,,,1785034050,747548728.4,6595617420,,,
1,AFG,1994,9.65,,,77.59683876,,,,,,,,1002481091,464562528.4,5070667599,,,
1,AFG,1995,8.5,,,99.49018848,,,,,,,,1716079736,404475407.3,6567410875,,,
1,AFG,1996,7.2,,,137.7114209,,,,,,,,1821693716,464096358.8,6710208168,,,
1,AFG,1997,6.3,,,120.705754,,,,,,,,1662377732,554497537.1,6296192956,,,
1,AFG,1998,6.3,,,178.8767817,,,,,,,,1536663236,665837681,5983934360,,,
1,AFG,1999,6,,,201.2745192,,,,,,,,1429271129,797533419,5730003617,,,
1,AFG,2000,6.1,,,189.5868957,,,,,,,,1330214164,948740006.5,5506927354,,,
1,AFG,2001,6.85,,,145.2275144,,,,,,,,1291405487,1044943336,5214068312,,,
1,AFG,2002,5.7,1.023570222,,189.8238738,,,,74.80480816,,,,2773024745,1432080334,7724129654,,,
1,AFG,2003,8.25,0.710009344,,69.01691035,,,,70.41113833,,,,3442648429,1451437991,8733169829,,,
1,AFG,2004,10.8875,0.44003058,,35.8514245,,,,63.7596516,,,,3905187899,1385657920,8750632386,,,
1,AFG,2005,12.98144221,0.3817198,,20.78836909,,,,61.32014574,,,,4309899151,1315397188,9309265797,,,
1,AFG,2006,12.28648325,0.50226549,,21.56626899,,,,59.44678126,,,,4676859296,1245626269,9948856082,,,
1,AFG,2007,12.59146341,0.449365386,,25.43362388,,,,49.85605037,,,,5294994312,1191360243,11286778671,,,
1,AFG,2008,8.585849057,0.611295447,,130.3834529,,,24.04552936,50.06786916,,,,5919436123,1123828277,11615075168,,,
1,AFG,2009,12.25,0.418062902,,65.46834909,20.03281575,,28.20010831,51.64294303,,,,6803439040,1079062230,13157379974,,,
1,AFG,2010,12.72727273,0.609980533,,37.32381477,15.33462205,,26.32560995,46.4525,,,,7895128979,1031099173,13739338176,,,
1,AFG,2011,12.7,0.879277901,,45.76530761,13.97376096,,29.58892401,40.93201853,,,,8839816708,976531082.1,14701716081,,,
1,AFG,2012,11.3570122,0.702276007,,55.91664175,12.94285258,,30.05178524,42.34974499,,,,9976444479,953218482.8,16049941234,,,
1,AFG,2013,11.74612179,0.54588231,,44.55362079,12.80018769,,31.97559692,44.70758786,,,,10611361751,896922510.3,17041106433,,,
1,AFG,2014,11.0425,0.544477424,,48.51627224,12.34396455,,32.59347513,46.80685495,,,,11291502076,809259472.5,17953507747,,,
1,AFG,2015,13.70294118,0.495307093,,35.10661895,13.45051864,,32.56878825,49.26263392,,,,11532928273,744252334.2,17522092768,,,
2,AGO,1979,21.6,,,16.01297992,,,,,,,,34933888137,3096884889,34714175907,,,
2,AGO,1980,19.65,20.57787373,,19.27321095,,,,,,,,35337398651,3212210391,35522427246,,,
2,AGO,1981,19.25,10.72234006,,20.06541244,,,,,,,,34556497351,3169481706,34287142005,,,
2,AGO,1982,16.6,5.191673079,,26.81831691,,,,,,,,34475238789,3053512368,34058731083,,,
2,AGO,1983,14.55,10.88773871,,34.71784295,,,,,,,,35837848097,3136121747,35368837842,,,
2,AGO,1984,13,16.83710102,,43.28800537,,,,,,,,37315085190,3153187464,37186576146,,,
